dbn,the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE,longitude,latitude
1055236,POINT (-73.95353074430393 40.80297988196676),115th Street,West 115th Street,203,New York,10026,http://www.nypl.org/locations/115th-street,1055236,1018310026,997115.1297700001,231827.65286399997,NYPL,1,-73.95353074430393,40.80297988196676
1054674,POINT (-73.9348475633247 40.80301816141575),125th Street,East 125th Street,224,New York,10035,http://www.nypl.org/locations/125th-street,1054674,1017890037,1002287.604,231844.894956,NYPL,1,-73.9348475633247,40.80301816141575
1089376,POINT (-73.97736329270697 40.76080689474172),53rd Street,West 53rd Street,18,New York,10019,http://www.nypl.org/locations/53rd-street,1089376,1012687503,990521.0,216460.0,NYPL,1,-73.97736329270697,40.76080689474172
1037165,POINT (-73.9693817046576 40.7621860177235),58th Street,East 58th Street,127,New York,10022,http://www.nypl.org/locations/58th-street,1037165,1013130005,992731.946935,216963.13174,NYPL,1,-73.9693817046576,40.7621860177235
1044749,POINT (-73.95954994584243 40.764915006253425),67th Street,East 67th Street,328,New York,10065,http://www.nypl.org/locations/67th-street,1044749,1014410038,995455.102906,217958.49687600002,NYPL,1,-73.95954994584243,40.764915006253425
1048501,POINT (-73.9518056716208 40.785959798621555),96th Street,East 96th Street,112,New York,10128,http://www.nypl.org/locations/96th-street,1048501,1015240064,997596.132088,225626.905751,NYPL,1,-73.9518056716208,40.785959798621555
1052167,POINT (-73.94345827853815 40.79421476546373),Aguilar,East 110th Street,174,New York,10029,http://www.nypl.org/locations/aguilar,1052167,1016370141,999905.7780149999,228635.85559099997,NYPL,1,-73.94345827853815,40.79421476546373
2053752,POINT (-73.86322248483968 40.866804429026935),Allerton,Barnes Avenue,2740,Bronx,10467,http://www.nypl.org/locations/allerton,2053752,2045130016,1022080.8747899999,255107.42421799997,NYPL,2,-73.86322248483968,40.866804429026935
1076145,POINT (-73.99335691118674 40.74046545561088),Andrew Heiskell Braille and Talking Book,West 20th Street,40,New York,10011,http://www.nypl.org/locations/heiskell,1076145,1008217501,986090.883117,209048.217124,NYPL,1,-73.99335691118674,40.74046545561088
1087518,POINT (-74.0157487123272 40.715690873439094),Battery Park City Library,North End Avenue,175,New York,10282,http://www.nypl.org/locations/battery-park-city,1087518,1000167516,979884.211806,200022.38888900002,NYPL,1,-74.0157487123272,40.715690873439094
2097466,POINT (-73.82931594567218 40.87075330808789),Baychester,Asch Loop North,2049,Bronx,10475,http://www.nypl.org/locations/baychester,2097466,2051410100,1031456.1666700001,256562.611111,NYPL,2,-73.82931594567218,40.87075330808789
2012129,POINT (-73.88788268526544 40.85434421451861),Belmont Library and Enrico Fermi Cultural Center,East 186th Street,610,Bronx,10458,http://www.nypl.org/locations/belmont,2012129,2030730020,1015266.0,250558.0,NYPL,2,-73.88788268526544,40.85434421451861
1055906,POINT (-73.96760677135273 40.79587354648015),Bloomingdale,West 100th Street,150,New York,10025,http://www.nypl.org/locations/bloomingdale,1055906,1018520049,993219.104167,229236.8125,NYPL,1,-73.96760677135273,40.79587354648015
2116006,POINT (-73.89450288645044 40.86298060519321),Bronx Library Center,East Kingsbridge Road,310,Bronx,10458,http://www.nypl.org/locations/bronx-library-center,2116006,2031540083,1013430.8067799999,253702.292842,NYPL,2,-73.89450288645044,40.86298060519321
2022944,POINT (-73.85017019717382 40.82662920810023),Castle Hill,Castle Hill Avenue,947,Bronx,10473,http://www.nypl.org/locations/castle-hill,2022944,2036880042,1025716.0,240476.0,NYPL,2,-73.85017019717382,40.82662920810023
1003425,POINT (-73.99648986636721 40.71333307050747),Chatham Square,East Broadway,33,New York,10002,http://www.nypl.org/locations/chatham-square,1003425,1002800044,985223.098108,199162.99673699998,NYPL,1,-73.99648986636721,40.71333307050747
2082611,POINT (-73.78636658900808 40.8476919036199),City Island,City Island Avenue,320,Bronx,10464,http://www.nypl.org/locations/city-island,2082611,2056440007,1043355.15999,248186.53418800002,NYPL,2,-73.78636658900808,40.8476919036199
2025381,POINT (-73.87502060024048 40.82999287527917),Clason's Point,Morrison Avenue,1215,Bronx,10472,http://www.nypl.org/locations/clasons-point,2025381,2037770062,1018836.8077799999,241690.718112,NYPL,2,-73.87502060024048,40.82999287527917
